店舗名,エリア,ウェブサイト,食べログURL,住所,Google Maps,最寄駅,評価点数
焼肉酒家 李苑,新宿区,https://tabelog.com/tokyo/A1304/A130401/13145404/,https://tabelog.com/tokyo/A1304/A130401/13145404/,東京都新宿区新宿5-18-16 shinjuku-fiveⅠ B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF5-18-16%20shinjuku-five%E2%85%A0%20B1F,新宿三丁目駅,3.43
肉好きの酒場 ます屋 新宿東口店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13289510/,https://tabelog.com/tokyo/A1304/A130401/13289510/,東京都新宿区歌舞伎町1-6-3 東海苑 4F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-6-3%20%E6%9D%B1%E6%B5%B7%E8%8B%91%204F,新宿西口駅,3.13
クラフトビール工房 新宿エール,新宿区,https://tabelog.com/tokyo/A1304/A130401/13255631/,https://tabelog.com/tokyo/A1304/A130401/13255631/,東京都新宿区歌舞伎町1-14-5 マルイビル 1F～2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-14-5%20%E3%83%9E%E3%83%AB%E3%82%A4%E3%83%93%E3%83%AB%201F%EF%BD%9E2F,西武新宿駅,3.28
大地の恵み北海道 新宿東宝ビル店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13179471/,https://tabelog.com/tokyo/A1304/A130401/13179471/,東京都新宿区歌舞伎町1-19-1 新宿東宝ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-19-1%20%E6%96%B0%E5%AE%BF%E6%9D%B1%E5%AE%9D%E3%83%93%E3%83%AB%201F,西武新宿駅,3.35
カフェイタリアン ミエーレ 新宿,新宿区,https://tabelog.com/tokyo/A1304/A130401/13179652/,https://tabelog.com/tokyo/A1304/A130401/13179652/,東京都新宿区歌舞伎町1-18-10 吉川ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-18-10%20%E5%90%89%E5%B7%9D%E3%83%93%E3%83%AB%20B1F,西武新宿駅,3.08
個室居酒屋 天空の雫 新宿東口店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13160283/,https://tabelog.com/tokyo/A1304/A130401/13160283/,東京都新宿区歌舞伎町1-6-3 東海苑ビル 5F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-6-3%20%E6%9D%B1%E6%B5%B7%E8%8B%91%E3%83%93%E3%83%AB%205F,新宿西口駅,3.15
A5ランクの黒毛和牛焼肉×食べ放題 個室完備 炭治郎 新宿本店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13261580/,https://tabelog.com/tokyo/A1304/A130401/13261580/,東京都新宿区歌舞伎町1-17-5 和田久ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-17-5%20%E5%92%8C%E7%94%B0%E4%B9%85%E3%83%93%E3%83%AB%202F,新宿西口駅,3.08
焼肉ホルモンたけ田 高田馬場店,新宿区,https://tabelog.com/tokyo/A1305/A130503/13273208/,https://tabelog.com/tokyo/A1305/A130503/13273208/,東京都新宿区高田馬場2-18-11 稲門ビル　B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B42-18-11%20%E7%A8%B2%E9%96%80%E3%83%93%E3%83%AB%E3%80%80B1F,高田馬場駅,3.17
居酒屋 海の家,新宿区,https://tabelog.com/tokyo/A1304/A130401/13037113/,https://tabelog.com/tokyo/A1304/A130401/13037113/,東京都新宿区歌舞伎町1-17-12 第一浅川ビル 7Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-17-12%20%E7%AC%AC%E4%B8%80%E6%B5%85%E5%B7%9D%E3%83%93%E3%83%AB%207%EF%BC%A6,新宿西口駅,3.02
新宿イタリアン カルボナード,新宿区,https://tabelog.com/tokyo/A1304/A130401/13136205/,https://tabelog.com/tokyo/A1304/A130401/13136205/,東京都新宿区歌舞伎町1-3-6,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-3-6,西武新宿駅,3.24
ディップマハル 神楽坂店,新宿区,https://tabelog.com/tokyo/A1309/A130905/13040413/,https://tabelog.com/tokyo/A1309/A130905/13040413/,東京都新宿区岩戸町1 M's神楽坂 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%B2%A9%E6%88%B8%E7%94%BA1%20M%27s%E7%A5%9E%E6%A5%BD%E5%9D%82%201F,牛込神楽坂駅,3.32
新大久保 アジア屋台村,新宿区,https://tabelog.com/tokyo/A1304/A130404/13217692/,https://tabelog.com/tokyo/A1304/A130404/13217692/,東京都新宿区百人町1-11-28 大長今ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%99%BE%E4%BA%BA%E7%94%BA1-11-28%20%E5%A4%A7%E9%95%B7%E4%BB%8A%E3%83%93%E3%83%AB%201F,新大久保駅,3.45
博多野菜巻き串と和牛ステーキ 五臓六腑 新宿東口店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13263612/,https://tabelog.com/tokyo/A1304/A130401/13263612/,東京都新宿区歌舞伎町1-16-10 第27東京ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-16-10%20%E7%AC%AC27%E6%9D%B1%E4%BA%AC%E3%83%93%E3%83%AB%20B1F,新宿西口駅,3.01
イタリア酒場 Osteria Pinocchio,新宿区,https://tabelog.com/tokyo/A1309/A130902/13214270/,https://tabelog.com/tokyo/A1309/A130902/13214270/,東京都新宿区四谷2-3-19 四谷大新ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%9B%9B%E8%B0%B72-3-19%20%E5%9B%9B%E8%B0%B7%E5%A4%A7%E6%96%B0%E3%83%93%E3%83%AB%201F,四ツ谷駅,3.30
DAOL,新宿区,https://tabelog.com/tokyo/A1304/A130401/13277205/,https://tabelog.com/tokyo/A1304/A130401/13277205/,東京都新宿区百人町1-5-6 白萩マンション 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%99%BE%E4%BA%BA%E7%94%BA1-5-6%20%E7%99%BD%E8%90%A9%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3%201F,西武新宿駅,3.40
炭鳥,新宿区,https://tabelog.com/tokyo/A1309/A130905/13302277/,https://tabelog.com/tokyo/A1309/A130905/13302277/,東京都新宿区矢来町112 第二松下ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%9F%A2%E6%9D%A5%E7%94%BA112%20%E7%AC%AC%E4%BA%8C%E6%9D%BE%E4%B8%8B%E3%83%93%E3%83%AB%201F,神楽坂駅,3.04
新宿中村屋Granna,新宿区,https://tabelog.com/tokyo/A1304/A130401/13174645/,https://tabelog.com/tokyo/A1304/A130401/13174645/,東京都新宿区新宿3-26-13 新宿中村屋ビル 8F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-26-13%20%E6%96%B0%E5%AE%BF%E4%B8%AD%E6%9D%91%E5%B1%8B%E3%83%93%E3%83%AB%208F,新宿三丁目駅,3.29
鳥元 新宿西口店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13006736/,https://tabelog.com/tokyo/A1304/A130401/13006736/,東京都新宿区西新宿1-12-7 第２清新ビル　１Ｆ・２Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF1-12-7%20%E7%AC%AC%EF%BC%92%E6%B8%85%E6%96%B0%E3%83%93%E3%83%AB%E3%80%80%EF%BC%91%EF%BC%A6%E3%83%BB%EF%BC%92%EF%BC%A6,新宿駅,3.15
エノテカピッツェリア 神楽坂スタジオーネ,新宿区,https://tabelog.com/tokyo/A1309/A130905/13055365/,https://tabelog.com/tokyo/A1309/A130905/13055365/,東京都新宿区神楽坂3-1 クレール神楽坂ＩＩＩ　５Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E7%A5%9E%E6%A5%BD%E5%9D%823-1%20%E3%82%AF%E3%83%AC%E3%83%BC%E3%83%AB%E7%A5%9E%E6%A5%BD%E5%9D%82%EF%BC%A9%EF%BC%A9%EF%BC%A9%E3%80%80%EF%BC%95%EF%BC%A6,飯田橋駅,3.49
すし土風炉 西新宿七丁目店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13009184/,https://tabelog.com/tokyo/A1304/A130401/13009184/,東京都新宿区西新宿7-20-3 ウエストゲート新宿ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF7-20-3%20%E3%82%A6%E3%82%A8%E3%82%B9%E3%83%88%E3%82%B2%E3%83%BC%E3%83%88%E6%96%B0%E5%AE%BF%E3%83%93%E3%83%AB%20B1F,西新宿駅,3.06
一酌万倍 新宿本店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13301846/,https://tabelog.com/tokyo/A1304/A130401/13301846/,東京都新宿区歌舞伎町1-13-9 3F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-13-9%203F,西武新宿駅,3.00
串あげ酒場 私の串,新宿区,https://tabelog.com/tokyo/A1304/A130401/13285157/,https://tabelog.com/tokyo/A1304/A130401/13285157/,東京都新宿区新宿5-10-4 B4ビル 1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF5-10-4%20B4%E3%83%93%E3%83%AB%201F,新宿三丁目駅,3.49
common cafe 新宿東口店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13185960/,https://tabelog.com/tokyo/A1304/A130401/13185960/,東京都新宿区歌舞伎町1-20-2 アパホテル新宿歌舞伎町タワー 2Ｆ,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-20-2%20%E3%82%A2%E3%83%91%E3%83%9B%E3%83%86%E3%83%AB%E6%96%B0%E5%AE%BF%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA%E3%82%BF%E3%83%AF%E3%83%BC%202%EF%BC%A6,西武新宿駅,3.29
FLOWER WALL MONE,新宿区,https://tabelog.com/tokyo/A1304/A130401/13268836/,https://tabelog.com/tokyo/A1304/A130401/13268836/,東京都新宿区新宿3-5-3 高山ランド会館 B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-5-3%20%E9%AB%98%E5%B1%B1%E3%83%A9%E3%83%B3%E3%83%89%E4%BC%9A%E9%A4%A8%20B1F,新宿三丁目駅,3.44
京懐石 みのきち 新宿住友店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13247736/,https://tabelog.com/tokyo/A1304/A130401/13247736/,東京都新宿区西新宿2-6-1 新宿住友ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF2-6-1%20%E6%96%B0%E5%AE%BF%E4%BD%8F%E5%8F%8B%E3%83%93%E3%83%AB%202F,都庁前駅,3.36
歌舞伎町焼肉 一頭や 新宿区役所通り店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13264183/,https://tabelog.com/tokyo/A1304/A130401/13264183/,東京都新宿区歌舞伎町1-2-13 新光ビル 1F-A,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-2-13%20%E6%96%B0%E5%85%89%E3%83%93%E3%83%AB%201F-A,新宿三丁目駅,3.31
棲家アーキテクチャカフェ,新宿区,https://tabelog.com/tokyo/A1304/A130401/13257634/,https://tabelog.com/tokyo/A1304/A130401/13257634/,東京都新宿区新宿3-6-7 第6三和ビル 4F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%96%B0%E5%AE%BF3-6-7%20%E7%AC%AC6%E4%B8%89%E5%92%8C%E3%83%93%E3%83%AB%204F,新宿三丁目駅,3.47
お肉の食べ放題専門店 個室 グリル＆バル 新宿本店,新宿区,https://tabelog.com/tokyo/A1304/A130401/13273826/,https://tabelog.com/tokyo/A1304/A130401/13273826/,東京都新宿区西新宿7-15-15 東宝観光ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%A5%BF%E6%96%B0%E5%AE%BF7-15-15%20%E6%9D%B1%E5%AE%9D%E8%A6%B3%E5%85%89%E3%83%93%E3%83%AB%20B1F,西武新宿駅,3.01
トラットリア ラ タルタルギーナ,新宿区,https://tabelog.com/tokyo/A1309/A130905/13175090/,https://tabelog.com/tokyo/A1309/A130905/13175090/,東京都新宿区赤城下町33-24,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E8%B5%A4%E5%9F%8E%E4%B8%8B%E7%94%BA33-24,神楽坂駅,3.51
大阪家GOLD,新宿区,https://tabelog.com/tokyo/A1304/A130401/13293251/,https://tabelog.com/tokyo/A1304/A130401/13293251/,東京都新宿区歌舞伎町1-22-3 ゴールドリッチビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-22-3%20%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%E3%83%AA%E3%83%83%E3%83%81%E3%83%93%E3%83%AB%202F,西武新宿駅,3.06
れんや 四ツ谷店,新宿区,https://tabelog.com/tokyo/A1309/A130902/13155266/,https://tabelog.com/tokyo/A1309/A130902/13155266/,東京都新宿区四谷1-7-15 山田ビル B1F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E5%9B%9B%E8%B0%B71-7-15%20%E5%B1%B1%E7%94%B0%E3%83%93%E3%83%AB%20B1F,四ツ谷駅,3.07
新仙,新宿区,https://tabelog.com/tokyo/A1304/A130401/13268665/,https://tabelog.com/tokyo/A1304/A130401/13268665/,東京都新宿区歌舞伎町1-16-1 新宿EX2ビル 2F,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%B0%E5%AE%BF%E5%8C%BA%E6%AD%8C%E8%88%9E%E4%BC%8E%E7%94%BA1-16-1%20%E6%96%B0%E5%AE%BFEX2%E3%83%93%E3%83%AB%202F,新宿西口駅,3.45
